overall,reviewerID,asin
5.0,AH2IFH762VY5U,B00005N7P0
5.0,AOSFI0JEYU4XM,B00005N7P0
3.0,A3JPFWKS83R49V,B00005N7OJ
5.0,A19FKU6JZQ2ECJ,B00005N7OJ
5.0,A25MDGOMZ2GALN,B00005N7P0
3.0,A3XT9XXWXFMJ1,B00005N7P0
5.0,A3ERU005ES1IHT,B00005N7P0
5.0,AC2278WPK3EU,B00005N7P0
4.0,A3QRR8PSCBI07C,B00005N7P0
4.0,A5QQOOZJOVPSF,B00005N7P0
5.0,A1Z16630QMH8Q6,B00005N7P0
2.0,A1LN6PL2AZGKNH,B00005N7P0
5.0,A2FR95O3K6WZMU,B00005N7P0
5.0,A99B5F6XYU3CZ,B00005N7P0
4.0,A29248I4OWQW45,B00005N7P0
5.0,A26PEGXTHPZQEE,B00005N7P0
5.0,A3RSVR9ELA3U2E,B00005N7P0
5.0,A2OVVHUNFT2TN7,B00005N7P0
3.0,A3JD68LUCW99NX,B00005N7P0
5.0,A1ZK8IKYH42IML,B00005N7P0
2.0,A4ZMLYRYQ5K87,B00005N7P0
5.0,A18RZ5Z6XECUNN,B00005N7P0
5.0,A2BYKOY63IFCCQ,B00005N7P0
5.0,AXCTTRMTBSV5J,B00005N7P0
4.0,A3VGQU7L9OUI53,B00005N7P0
2.0,APL636FJR8MRR,B00005N7P0
5.0,A2GMZZ6TDYOHY7,B00005N7P0
2.0,A1XUVLLZB9JBTE,B00005N7P0
5.0,A22ZI4FO8J3W0,B00005N7P0
3.0,A3S6J9C92KUL83,B00005N7P0
5.0,A3MSSOG2DS98OQ,B00005N7P0
5.0,AE7AJCGIUDVK3,B00005N7P0
5.0,AF26G326ZZ2OY,B00005N7P0
5.0,A2QB8GZ8P7Y2RD,B00005N7P0
5.0,A38PH87F2DLJ6S,B00005N7Q1
5.0,A3556UAMASCD0B,B00005N7Q1
4.0,A1RO4VUZRWN5AD,B00005N7Q1
4.0,A38GVPHBWCYKBT,B00005N7Q1
5.0,A1LPAB56PI3B1X,B00005N7Q1
5.0,A2Q92TFD3JY9B1,B00005N7Q1
5.0,A20SJRN4G2XENN,B00005N7Q1
5.0,A19BA4RPOKQXZH,B00005N7Q1
5.0,AU4D1G5QOEB6O,B00005N7P0
5.0,A2SI78R33PC5JR,B00005N7P0
5.0,A3PQQVU8NHR7PM,B00005N7P0
5.0,ALWIPFLEEH17M,B00005N7P0
1.0,A90UMUUG7DFCU,B00005N7P0
5.0,A1RW9ZBFC9UYYA,B00005N7P0
5.0,A2AA9P4FGO629Q,B00005N7P0
5.0,AWBKHL9Z878SZ,B00005N7P0
5.0,AKZFA72JANYIK,B00005N7P0
4.0,A2WBTUZ7LVTBSX,B00005N7P0
5.0,AXTSIREG6PYVF,B00005N7P0
5.0,A1TFF756I2CZ67,B00005N7P0
5.0,A1UJBEQ1N2O99C,B00005N7P0
5.0,A2R8LO91TXJIY2,B00005N7P0
5.0,AG8DY3XFNJDD9,B00005N7P0
5.0,ADYZH6B2X5Z7,B00005N7P0
5.0,A1KMDZ8E5VN0R1,B00005N7P0
4.0,A2H89DWNYWFN4L,B00005N7P0
2.0,A2LQJV5DI4OZFM,B00005N7P0
5.0,A1TFAX2TH4XA00,B00005N7P0
5.0,ACB3VEWUWO53G,B00005N7OD
5.0,A2UKDI5CNRDHMU,B00005N7OD
5.0,A2NLFLB5477RXR,B00005N7OD
5.0,AIF6EU76IRWZF,B00005N7OD
5.0,A2IQ1OM6JPY3QM,B00005N7OD
5.0,A1Y4463V55P6B,B00005N7OD
4.0,A3NX5T8BX69XMJ,B00005N7OD
4.0,A3UADM23L9MDPS,B00005N7PS
5.0,A5RHZE7B8SV5Q,B00005N7PS
1.0,A1IWT6KM1X8PNS,B00005N7PS
1.0,A22X4XUPKF66MR,B00005N7PS
1.0,A1RPTVW5VEOSI,B00005N7PS
1.0,AWGAHK04B1SO4,B00005N7PS
2.0,A2S166WSCFIFP5,B00005N7PS
4.0,AMPQ8PP6MUQTM,B00005N7PS
5.0,A3A3RQ7Z8TBTDS,B00005N7PS
5.0,A26YS0RMVHKMWC,B00005N7P0
5.0,A1VSRD793L412B,B00005N7P0
3.0,A2T4XPDLZBP7XN,B00005N7P0
5.0,A3J9VLYYT8BKGW,B00005N7P0
5.0,A9DZTPUER694B,B00005N7P0
5.0,A10YMCG6O18Y9S,B00005N7P0
5.0,A2O6HZ2B9YSRXR,B00005N7P0
2.0,A1QFC3ZKIIRG4J,B00005N7P0
5.0,A1CZ17TQRK6JGJ,B00005N7P0
5.0,A2VOYJS8XNBN6U,B00005N7P0
2.0,A2WQQTKC1NNT7R,B00005N7P0
5.0,A12NS74IM0JYGG,B00005N7P0
4.0,AMFC4HUS3D16W,B00005N7P0
5.0,A25NO0WDZACFUM,B00005N7P0
5.0,A1ZVFFM4JONY3I,B00005N7P0
