reviewerID,reviewerName,grupo
AH2IFH762VY5U,ted sedlmayr,B
AOSFI0JEYU4XM,Amazon Customer,B
A3JPFWKS83R49V,Bryan Carey,A
A19FKU6JZQ2ECJ,Patricia L. Por,B
A25MDGOMZ2GALN,Alvey,A
A3XT9XXWXFMJ1,Jeff A Milne,A
A3ERU005ES1IHT,P. R THOMPSON,B
AC2278WPK3EU,Earle Williams,A
A3QRR8PSCBI07C,JJM,B
A5QQOOZJOVPSF,John L. Mehlmau,B
A1Z16630QMH8Q6,Vista Bill Rale,A
A1LN6PL2AZGKNH,Andrea Chambers,A
A2FR95O3K6WZMU,TG,B
A99B5F6XYU3CZ,Joseph P Brown,B
A29248I4OWQW45,CamX Hernandez,B
A26PEGXTHPZQEE,David Kalish,B
A3RSVR9ELA3U2E,kay,A
A2OVVHUNFT2TN7,PH,A
A3JD68LUCW99NX,M. Azuela,A
A1ZK8IKYH42IML,Andy,A
A4ZMLYRYQ5K87,juan,B
A18RZ5Z6XECUNN,Mark A. Lingle,B
A2BYKOY63IFCCQ,Austin Plummer,B
AXCTTRMTBSV5J,Jeff,B
A3VGQU7L9OUI53,Creative Sponge,B
APL636FJR8MRR,Louis Alter,A
A2GMZZ6TDYOHY7,A. Mefford,B
A1XUVLLZB9JBTE,Pete Lamansky,A
A22ZI4FO8J3W0,Amazon Customer,A
A3S6J9C92KUL83,avg joe,B
A3MSSOG2DS98OQ,NEURO,B
AE7AJCGIUDVK3,Glenn,A
AF26G326ZZ2OY,derekl999,B
A2QB8GZ8P7Y2RD,Bradley Corwin,A
A38PH87F2DLJ6S,M. Dillon,A
A3556UAMASCD0B,M. Petrie,A
A1RO4VUZRWN5AD,Marc Alexander,B
A38GVPHBWCYKBT,Stacy Lea Kaluz,B
A1LPAB56PI3B1X,John D. Bowen,B
A2Q92TFD3JY9B1,Amazon Customer,B
A20SJRN4G2XENN,Mother lode rea,B
A19BA4RPOKQXZH,C. CZARNECKI,B
AU4D1G5QOEB6O,James,A
A2SI78R33PC5JR,JavaGuy147,A
A3PQQVU8NHR7PM,John J,A
ALWIPFLEEH17M,LinuxMan03,A
A90UMUUG7DFCU,E. E,A
A1RW9ZBFC9UYYA,Tony!,B
A2AA9P4FGO629Q,Nick,A
AWBKHL9Z878SZ,Barcheck55,B
AKZFA72JANYIK,J. A. Thomas,A
A2WBTUZ7LVTBSX,Don Hoehn,B
AXTSIREG6PYVF,Don,A
A1TFF756I2CZ67,T. Tack,B
A1UJBEQ1N2O99C,TK,B
A2R8LO91TXJIY2,T.C.,A
AG8DY3XFNJDD9,Bryan,A
ADYZH6B2X5Z7,Big T,A
A1KMDZ8E5VN0R1,Kenneth Miller,A
A2H89DWNYWFN4L,N. Amin,A
A2LQJV5DI4OZFM,RWC,B
A1TFAX2TH4XA00,starwars814,A
ACB3VEWUWO53G,Robin McAtee,A
A2UKDI5CNRDHMU,Donna Raphael,B
A2NLFLB5477RXR,Desiree,B
AIF6EU76IRWZF,Roberta Whitney,A
A2IQ1OM6JPY3QM,Supida Fakmeeto,B
A1Y4463V55P6B,Heidi Prochnau,B
A3NX5T8BX69XMJ,Jennifer,A
A3UADM23L9MDPS,James and Stasi,B
A5RHZE7B8SV5Q,gorillazfan249,B
A1IWT6KM1X8PNS,AZS,B
A22X4XUPKF66MR,D. H. Richards,B
A1RPTVW5VEOSI,Michael J. Edel,A
AWGAHK04B1SO4,butterfly,A
A2S166WSCFIFP5,adead_poet@hotm,B
AMPQ8PP6MUQTM,L. Stratton,A
A3A3RQ7Z8TBTDS,Benjamin K. Sco,B
A26YS0RMVHKMWC,Way Up North,B
A1VSRD793L412B,Steven J. Chmur,B
A2T4XPDLZBP7XN,Jakethesnake,B
A3J9VLYYT8BKGW,Chris Barbot,B
A9DZTPUER694B,C. Dobbertin,B
A10YMCG6O18Y9S,BAB,B
A2O6HZ2B9YSRXR,Indiana Custome,A
A1QFC3ZKIIRG4J,PezLee,B
A1CZ17TQRK6JGJ,Mark,B
A2VOYJS8XNBN6U,Greg Allen,A
A2WQQTKC1NNT7R,Ms. Jag99,B
A12NS74IM0JYGG,Jeff S,A
AMFC4HUS3D16W,C. Daniel,A
A25NO0WDZACFUM,Sparkless Wonde,B
A1ZVFFM4JONY3I,Dave,B
AJSZZ4EBYE9YX,Edouard,A
A1RPKD9E294OTX,TomK1951,B
A2QFUUR52KZI9Z,pregnantchad,A
A3P55836AE5VRY,joel,A
A3KMILYR935CHF,Porkee Peeg,A
A112OID07NKUTM,Amazoneer,B
AXO0BHQFBSMJO,jmp537,B
A13L1VQHJHSW6G,Fuj,A
A1KL17ER98VUHC,Robert Denton,A
A15BN1AMRT8FP1,Arvin,A
A1VKU9PDT5ZKHY,Amazon Customer,B
A1YLVUBTV7XGBP,Zap,B
A3C8EO3XJ8M1SQ,Rambo,A
A150VD7UM1NVL7,antonio florez,A
AXH62CD4Y821V,Bjorn Ahlberg,A
A3H4Z52P36CXVE,Ziggy,A
A1P57DBMNB13KE,hhjtheSAG,B
A21GM3ZIG7SJTN,Allen L. Hether,A
AXURLO7NJQOTC,Alan Bartlett,B
A29T69AEGP3GDG,julio,A
A2M3D4GQNTMIIE,Mister Personal,B
A2H7KHOL5W3QQY,RKSparky,B
A1N8F912MQRIE2,Mahmoud Hamad,A
A1SFRBCMW8XVBW,Hoyett L. Barne,A
A2P1CE9CC6BRVF,Stephen Hansen,B
A3IPPP622UF6N1,Vickie Rue,A
A6WPF246AIY4F,CamBpro,B
AVCN3H0YMAT47,kandylandmo,A
A2TXDJ50XSFIB4,Jennifer,B
A2CLBWY7QIDMHG,Mary E. Mccanna,A
A3NNFQ3KV5SD5S,Melissa Schneid,A
A4JRH82051L9F,Ricksters,A
A3EQV0ZSI01BV9,Michelle,A
A1MWFQI1XVFV2S,JenQ,B
ALJQ038O7TAE4,Hank Stone,A
A1KW68OP8JGZN7,J. Aceti,A
A2UJDH31NU6LGI,Abrasive1,B
A1D4W34E41UINV,BL,A
A1IU9VPCBKZPE8,Randolph Eck,B
A22IABOCSE7G43,Boston Butler,A
A3O1FXCO5LZHKP,sports nut,A
A3UPY133KOTFJC,Rabid Sofa Pill,B
A303X6GZK08WUT,Allan Trzcinski,A
AQZRBU1UWMYED,Eclectic,A
AVKZ6PSXX72A7,Kindle Customer,A
A3SFHMKLO59SNB,Chris H,B
A12W92HKRTD08F,Gordon Stone,B
ARRAW6GZDZXY1,C. M.,B
A2C25ATIV2IGMK,Dave &amp;amp; ,B
A3JEHMYNXU7FFC,Amazon Customer,A
A1M0OAGTV212R7,Randall Skees,A
A2EJP9H6G3BPAV,gumby,A
A3FCON8N6PJIZB,H.b,A
A1WJ56EUJGZVF,L. Kelly,A
AJR5YI0AJK93J,The Bear,A
A28C5VS2EF7YJG,Calman86,A
A3NLVHGP3D7ADP,Aneudi Diaz,A
A19IVUFYLY47F2,Daniel R. Dause,A
A29KU0K1YN0XU5,carlos rodrigue,B
AM0T0AKLN5GZB,Priscilla H.,A
A5BZBD7CYCD2P,Keira Kelly,B
AB00KQZ88BSAZ,LCA,A
A2BUY0H9SOVBH3,Durward Ferland,B
A317FCZV1PG81T,KC,B
AHRWSHIMCV963,Ben Garcia,A
A9Q28YTLYREO7,MAXIMILLIAN MUH,B
A1I0HUXO5KWN8O,R. Everett,B
A1WGY6MZDZ1H9J,C. E. Ivy,A
AOMZTGO51ONDA,Michael E. Lewi,B
A2MDVO0ET00EAE,montecarlo,A
A7VC3OHVCH47B,Amazon Customer,B
ASN6C11MUMR4V,Ladybug,B
A1EHWT1K3VRVKS,Brian Bouler,B
